disease_id,mic_id
52,0
123,0
150,0
193,0
208,1
99,2
136,3
83,4
103,4
62,5
57,6
68,6
100,6
115,6
134,6
152,6
162,6
208,6
103,7
32,8
168,9
14,10
62,11
62,12
118,12
126,12
4,13
30,13
42,13
43,13
48,13
62,13
68,13
86,13
99,13
103,13
119,13
122,13
126,13
134,13
148,13
150,13
153,13
154,13
155,13
171,13
178,13
183,13
203,13
209,13
42,14
52,14
68,14
144,14
150,14
195,14
13,15
168,15
40,16
41,16
60,16
61,16
70,16
74,16
95,16
100,16
104,16
124,16
132,16
141,16
144,16
160,16
176,16
200,16
118,17
211,18
10,19
17,19
26,19
36,19
42,19
52,19
57,19
58,19
68,19
70,19
93,19
95,19
98,19
102,19
108,19
119,19
144,19
154,19
156,19
157,19
183,19
193,19
195,19
209,19
157,20
32,21
42,21
179,22
42,23
157,23
211,24
28,25
144,25
157,25
43,26
147,27
3,28
30,29
210,29
154,30
165,30
209,30
8,31
100,31
170,32
69,33
30,34
118,34
134,34
30,35
47,35
211,36
215,37
52,38
68,38
70,38
119,38
202,38
42,39
52,40
4,41
57,41
98,41
100,41
123,41
152,41
157,41
191,41
195,41
141,42
152,42
195,42
28,43
207,43
59,44
183,44
3,45
12,45
25,45
57,45
62,45
99,45
100,45
103,45
115,45
132,45
152,45
154,45
160,45
162,45
175,45
22,46
25,46
62,46
68,46
70,46
107,46
131,46
154,46
163,46
174,46
209,46
210,46
210,47
24,48
36,48
50,48
70,48
75,48
86,48
119,48
138,48
141,48
54,49
29,50
68,50
197,50
8,51
32,51
49,51
62,51
68,51
70,51
90,51
98,51
100,51
103,51
119,51
122,51
128,51
138,51
139,51
141,51
148,51
152,51
153,51
154,51
175,51
182,51
191,51
192,51
205,51
208,51
209,51
210,51
57,52
108,52
199,52
199,53
25,54
68,54
108,54
199,54
199,55
25,56
158,56
199,56
25,57
57,57
62,57
68,57
70,57
158,57
18,58
25,58
154,58
158,58
199,58
208,58
30,59
100,59
115,59
103,60
154,61
17,62
30,62
154,62
174,62
26,63
32,63
42,63
62,63
70,63
99,63
122,63
145,63
150,63
193,63
141,64
173,65
193,65
43,66
181,66
53,67
140,67
103,68
68,69
29,70
14,71
202,72
185,73
4,74
54,74
62,74
103,74
139,74
185,74
172,75
44,76
165,77
14,78
25,78
158,78
68,79
18,80
115,80
156,80
183,80
193,80
168,81
29,82
52,83
139,83
205,83
25,84
48,84
62,84
68,84
76,84
94,84
100,84
115,84
117,84
122,84
129,84
139,84
152,84
170,84
188,84
191,84
208,84
209,84
210,84
132,85
170,85
32,86
50,86
62,86
68,86
76,86
100,86
113,86
115,86
127,86
139,86
152,86
154,86
14,87
68,87
119,87
119,88
48,89
62,89
164,89
143,90
62,91
74,91
154,91
48,92
29,93
29,94
211,95
86,96
29,97
173,97
52,98
76,99
49,100
98,100
103,100
103,101
72,102
60,103
68,104
60,105
210,106
3,107
4,107
26,107
30,107
42,107
43,107
52,107
57,107
62,107
76,107
118,107
149,107
173,107
193,107
209,107
216,107
18,108
28,108
32,108
144,108
30,109
47,109
165,109
166,109
29,110
154,111
25,112
62,112
68,112
70,112
102,112
132,112
141,112
164,112
173,112
178,112
68,113
143,114
117,115
1,116
25,116
57,116
62,116
68,116
82,116
119,116
143,116
149,116
158,116
193,116
199,116
208,116
209,116
114,117
10,118
57,118
115,118
132,118
193,118
210,118
62,119
70,119
86,119
102,119
119,119
128,119
157,119
3,120
8,120
15,120
18,120
21,120
25,120
28,120
43,120
48,120
50,120
57,120
58,120
59,120
61,120
62,120
66,120
68,120
70,120
76,120
82,120
92,120
98,120
103,120
107,120
116,120
118,120
119,120
122,120
128,120
132,120
134,120
136,120
139,120
153,120
154,120
160,120
161,120
162,120
166,120
174,120
178,120
182,120
183,120
191,120
193,120
205,120
208,120
210,120
212,120
217,120
68,121
149,121
62,122
25,123
132,123
154,123
158,123
176,123
132,124
209,124
82,125
154,125
208,125
32,126
57,126
68,126
127,126
168,126
57,127
62,127
8,128
20,128
25,128
50,128
