disease_A,disease_B,weight
0.0,0.0,1.0
0.0,1.0,0.840857282
0.0,2.0,1.0
0.0,3.0,0.499906932
0.0,4.0,0.594520548
0.0,5.0,0.840857282
0.0,6.0,0.840857282
0.0,7.0,0.096327638
0.0,8.0,0.353454682
0.0,9.0,0.840857282
0.0,10.0,0.499906932
0.0,11.0,0.840857282
0.0,12.0,0.499906932
0.0,13.0,0.272531793
0.0,14.0,0.420350385
0.0,15.0,0.771051586
0.0,16.0,0.771051586
0.0,17.0,1.0
0.0,18.0,1.0
0.0,19.0,0.840857282
0.0,20.0,0.458406011
0.0,21.0,0.840857282
0.0,22.0,0.707040969
0.0,23.0,0.024072945
0.0,24.0,0.840857282
0.0,25.0,0.004253556
0.0,26.0,0.249906941
0.0,27.0,0.840857282
0.0,28.0,0.458406011
0.0,29.0,0.385454033
0.0,30.0,0.499906932
0.0,31.0,0.840857282
0.0,32.0,0.707040969
0.0,33.0,0.771051586
0.0,34.0,0.707040969
0.0,35.0,4.75e-07
0.0,36.0,0.385454033
0.0,37.0,0.707040969
0.0,38.0,0.840857282
1.0,0.0,0.840857282
1.0,1.0,1.0
1.0,2.0,0.840857282
1.0,3.0,0.420350385
1.0,4.0,0.707040969
1.0,5.0,1.0
1.0,6.0,0.840857282
1.0,7.0,0.096327638
1.0,8.0,0.353454682
1.0,9.0,0.840857282
1.0,10.0,0.499906932
1.0,11.0,0.840857282
1.0,12.0,0.499906932
1.0,13.0,0.272531793
1.0,14.0,0.420350385
1.0,15.0,0.771051586
1.0,16.0,0.916982706
1.0,17.0,0.840857282
1.0,18.0,0.840857282
1.0,19.0,0.840857282
1.0,20.0,0.458406011
1.0,21.0,0.840857282
1.0,22.0,0.707040969
1.0,23.0,0.024072945
1.0,24.0,0.840857282
1.0,25.0,0.004253556
1.0,26.0,0.249906941
1.0,27.0,0.840857282
1.0,28.0,0.458406011
1.0,29.0,0.385454033
1.0,30.0,0.499906932
1.0,31.0,1.0
1.0,32.0,0.707040969
1.0,33.0,0.771051586
1.0,34.0,0.707040969
1.0,35.0,4.75e-07
1.0,36.0,0.385454033
1.0,37.0,0.707040969
1.0,38.0,0.840857282
2.0,0.0,1.0
2.0,1.0,0.840857282
2.0,2.0,1.0
2.0,3.0,0.499906932
2.0,4.0,0.594520548
2.0,5.0,0.840857282
2.0,6.0,0.840857282
2.0,7.0,0.096327638
2.0,8.0,0.353454682
2.0,9.0,0.840857282
2.0,10.0,0.499906932
2.0,11.0,0.840857282
2.0,12.0,0.499906932
2.0,13.0,0.272531793
2.0,14.0,0.420350385
2.0,15.0,0.771051586
2.0,16.0,0.771051586
2.0,17.0,1.0
2.0,18.0,1.0
2.0,19.0,0.840857282
2.0,20.0,0.458406011
2.0,21.0,0.840857282
2.0,22.0,0.707040969
2.0,23.0,0.024072945
2.0,24.0,0.840857282
2.0,25.0,0.004253556
2.0,26.0,0.249906941
2.0,27.0,0.840857282
2.0,28.0,0.458406011
2.0,29.0,0.385454033
2.0,30.0,0.499906932
2.0,31.0,0.840857282
2.0,32.0,0.707040969
2.0,33.0,0.771051586
2.0,34.0,0.707040969
2.0,35.0,4.75e-07
2.0,36.0,0.385454033
2.0,37.0,0.707040969
2.0,38.0,0.840857282
3.0,0.0,0.499906932
3.0,1.0,0.420350385
3.0,2.0,0.499906932
3.0,3.0,1.0
3.0,4.0,0.297204943
3.0,5.0,0.420350385
3.0,6.0,0.420350385
3.0,7.0,0.05726876
3.0,8.0,0.249906941
3.0,9.0,0.420350385
3.0,10.0,0.353454682
3.0,11.0,0.420350385
3.0,12.0,0.499906932
3.0,13.0,0.136240533
3.0,14.0,0.210136071
3.0,15.0,0.385454033
3.0,16.0,0.385454033
3.0,17.0,0.499906932
3.0,18.0,0.499906932
3.0,19.0,0.420350385
3.0,20.0,0.272531793
3.0,21.0,0.420350385
3.0,22.0,0.420350385
3.0,23.0,0.020241911
3.0,24.0,0.420350385
3.0,25.0,0.004253556
3.0,26.0,0.210136071
3.0,27.0,0.420350385
3.0,28.0,0.272531793
3.0,29.0,0.272531793
3.0,30.0,0.353454682
3.0,31.0,0.420350385
3.0,32.0,0.420350385
3.0,33.0,0.385454033
3.0,34.0,0.353454682
3.0,35.0,4.75e-07
3.0,36.0,0.272531793
3.0,37.0,0.420350385
3.0,38.0,0.420350385
4.0,0.0,0.594520548
4.0,1.0,0.707040969
4.0,2.0,0.594520548
4.0,3.0,0.297204943
4.0,4.0,1.0
4.0,5.0,0.707040969
4.0,6.0,0.594520548
4.0,7.0,0.068107587
4.0,8.0,0.249906941
4.0,9.0,0.594520548
4.0,10.0,0.353454682
4.0,11.0,0.594520548
4.0,12.0,0.353454682
4.0,13.0,0.192691143
4.0,14.0,0.420350385
4.0,15.0,0.545165061
4.0,16.0,0.648344341
4.0,17.0,0.594520548
